epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8202,0,103.165,0,0,0,0,0,0,103.383,0,0,0,0
2,25.6805,0,103.221,0,0,0,0,0,0,103.425,0,1.40071e-05,1.40071e-05,1.40071e-05
3,35.7393,0,103.029,0,0,0,0,0,0,103.477,0,2.74482e-05,2.74482e-05,2.74482e-05
4,45.5359,0,102.513,0,0,0,0,0,0,103.542,0,4.03235e-05,4.03235e-05,4.03235e-05
5,56.9495,0,102.155,0,0,0,0,0,0,103.612,0,5.26329e-05,5.26329e-05,5.26329e-05
6,67.8111,0,101.509,0,0,0,0,0,0,103.681,0,6.43764e-05,6.43764e-05,6.43764e-05
7,79.7425,0,101.171,0,0,0,0,0,0,103.746,0,7.55541e-05,7.55541e-05,7.55541e-05
8,93.1816,0,100.354,0,0,0,0,0,0,103.796,0,8.61658e-05,8.61658e-05,8.61658e-05
9,104.53,0,99.8583,0,0,0,0,0,0,103.82,0,9.62117e-05,9.62117e-05,9.62117e-05
10,116.536,0,99.1784,0,0,0,0,0,0,103.83,0,0.000105692,0.000105692,0.000105692
11,129.373,0,98.355,0,0,0,0,0,0,103.815,0,0.000114606,0.000114606,0.000114606
12,140.757,0,97.3485,0,0,0,0,0,0,103.788,0,0.000122954,0.000122954,0.000122954
13,153.512,0,96.2439,0,0,0,0,0,0,103.746,0,0.000130736,0.000130736,0.000130736
14,165.851,0,95.525,0,0,0,0,0,0,103.701,0,0.000137953,0.000137953,0.000137953
15,179.34,0,94.437,0,0,0,0,0,0,103.656,0,0.000144603,0.000144603,0.000144603
16,192.23,0,93.725,0,0,0,0,0,0,103.615,0,0.000150688,0.000150688,0.000150688
17,203.394,0,92.3031,0,0,0,0,0,0,103.551,0,0.000156207,0.000156207,0.000156207
18,216.172,0,91.1321,0,0,0,0,0,0,103.551,0,0.00016116,0.00016116,0.00016116
19,227.185,0,91.3073,0,0,0,0,0,0,103.488,0,0.000165547,0.000165547,0.000165547
20,238.157,0,90.803,0,0,0,0,0,0,103.488,0,0.000169368,0.000169368,0.000169368
21,247.985,0,89.5243,0,0,0,0,0,0,103.38,0,0.000172623,0.000172623,0.000172623
22,257.975,0,89.1756,0,0,0,0,0,0,103.38,0,0.000175313,0.000175313,0.000175313
23,267.599,0,88.5592,0,0,0,0,0,0,103.249,0,0.000177436,0.000177436,0.000177436
24,278.063,0,88.2308,0,0,0,0,0,0,103.249,0,0.000178994,0.000178994,0.000178994
25,288.48,0,88.5871,0,0,0,0,0,0,103.107,0,0.000179985,0.000179985,0.000179985
26,299.395,0,87.1312,0,0,0,0,0,0,103.107,0,0.000180411,0.000180411,0.000180411
27,310.483,0,86.5175,0,0,0,0,0,0,102.852,0,0.000180271,0.000180271,0.000180271
28,321.151,0,88.5779,0,0,0,0,0,0,102.852,0,0.000179565,0.000179565,0.000179565
29,332.058,0,85.6202,0,0,0,0,0,0,102.563,0,0.000178293,0.000178293,0.000178293
30,343.881,0,85.5591,0,0,0,0,0,0,102.563,0,0.000176456,0.000176456,0.000176456
31,356.539,0,84.7976,0,0,0,0,0,0,102.179,0,0.000174052,0.000174052,0.000174052
32,438.074,0,85.987,0,0,0,0,0,0,102.179,0,0.000171083,0.000171083,0.000171083
33,448.204,0,85.5224,0,0,0,0,0,0,101.806,0,0.000167547,0.000167547,0.000167547
34,457.771,0,84.4504,0,0,0,0,0,0,101.806,0,0.000163446,0.000163446,0.000163446
35,467.556,0,84.9849,0,0,0,0,0,0,101.35,0,0.000158779,0.000158779,0.000158779
36,478.056,0,84.7621,0,0,0,0,0,0,101.35,0,0.000153546,0.000153546,0.000153546
37,487.891,0,84.5916,0,0,0,0,0,0,100.901,0,0.000147747,0.000147747,0.000147747
38,497.471,0,83.5108,0,0,0,0,0,0,100.901,0,0.000141382,0.000141382,0.000141382
39,507.127,0,83.7476,0,0,0,0,0,0,100.456,0,0.000134452,0.000134452,0.000134452
40,517.244,0,82.8098,0,0,0,0,0,0,100.456,0,0.000126955,0.000126955,0.000126955
41,526.901,0,83.3444,0,0,0,0,0,0,99.999,0,0.000118893,0.000118893,0.000118893
42,536.678,0,84.0599,0,0,0,0,0,0,99.999,0,0.000110264,0.000110264,0.000110264
43,546.764,0,82.9195,0,0,0,0,0,0,99.5814,0,0.00010107,0.00010107,0.00010107
44,556.616,0,82.9048,0,0,0,0,0,0,99.5814,0,9.13102e-05,9.13102e-05,9.13102e-05
45,566.772,0,83.2885,0,0,0,0,0,0,99.2258,0,8.09843e-05,8.09843e-05,8.09843e-05
46,576.488,0,81.8459,0,0,0,0,0,0,99.2258,0,7.00924e-05,7.00924e-05,7.00924e-05
47,586.187,0,83.1894,0,0,0,0,0,0,98.9359,0,5.86347e-05,5.86347e-05,5.86347e-05
48,595.506,0,81.6791,0,0,0,0,0,0,98.9359,0,4.66111e-05,4.66111e-05,4.66111e-05
49,604.957,0,82.6788,0,0,0,0,0,0,98.7478,0,3.40216e-05,3.40216e-05,3.40216e-05
50,614.182,0,81.9911,0,0,0,0,0,0,98.7478,0,2.08663e-05,2.08663e-05,2.08663e-05
