epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7815,1.38096,3.72967,1.31596,0.43826,0.875,0.74813,0.61002,0.81921,5.07998,0.98028,0.000465508,0.000465508,0.000465508
2,159.801,1.04739,4.0859,1.13762,0.15831,0.4375,0.18736,0.14809,0.90784,3.3899,1.05562,0.000934071,0.000934071,0.000934071
3,234.993,1.04863,3.43735,1.22197,0.28995,0.875,0.616,0.34733,1.29083,5.6317,1.29516,0.00139477,0.00139477,0.00139477
4,306.935,1.01651,2.94993,1.17563,0.28995,0.875,0.616,0.34733,1.29083,5.6317,1.29516,0.00139363,0.00139363,0.00139363
5,376.949,1.0104,3.98701,1.13823,0.00235,0.375,0.00178,0.00103,1.08107,4.30116,1.25388,0.00138184,0.00138184,0.00138184
6,460.666,0.90057,3.74319,1.09378,0.64777,0.25,0.13082,0.10686,0.84482,2.63575,1.06056,0.00137005,0.00137005,0.00137005
7,602.961,0.86181,2.85047,1.0258,0.67859,0.4375,0.46298,0.32322,0.89272,2.44309,1.07113,0.00135826,0.00135826,0.00135826
8,665.013,0.89358,2.44855,1.05731,0.67859,0.4375,0.46298,0.32322,0.89272,2.44309,1.07113,0.00134648,0.00134648,0.00134648
9,729.973,0.93853,2.19615,1.11872,0.40652,0.95311,0.52007,0.31555,1.1268,1.75402,1.20726,0.00133469,0.00133469,0.00133469
10,798.343,0.9103,2.20175,1.1319,0.36669,0.70263,0.53424,0.31327,1.07673,2.1615,1.11996,0.0013229,0.0013229,0.0013229
11,870.552,0.9388,2.14424,1.03558,0.36669,0.70263,0.53424,0.31327,1.07673,2.1615,1.11996,0.00131111,0.00131111,0.00131111
12,940.706,0.98198,2.50863,1.03531,0.50839,0.99056,0.6369,0.43827,1.11123,2.84137,1.02202,0.00129932,0.00129932,0.00129932
13,1051.8,0.98352,2.98775,1.0778,0.50489,0.92359,0.61877,0.44442,0.91439,1.80606,1.04237,0.00128753,0.00128753,0.00128753
14,1118.14,0.88583,1.75496,1.07372,0.50489,0.92359,0.61877,0.44442,0.91439,1.80606,1.04237,0.00127574,0.00127574,0.00127574
15,1210,0.88631,1.59324,1.13536,0.51392,1,0.69412,0.53919,0.89769,1.18598,1.05103,0.00126395,0.00126395,0.00126395
16,1282.81,0.87292,1.65197,1.08579,0.54884,1,0.71179,0.5115,1.09158,1.26739,1.12473,0.00125216,0.00125216,0.00125216
17,1359.8,0.95034,1.56927,1.16074,0.54884,1,0.71179,0.5115,1.09158,1.26739,1.12473,0.00124037,0.00124037,0.00124037
18,1437.7,0.94356,1.41983,1.28158,0.52039,1,0.77774,0.55395,1.00909,1.16427,1.05478,0.00122858,0.00122858,0.00122858
19,1511.65,0.91055,1.35554,1.19398,0.7497,0.83661,0.75714,0.61217,0.87005,1.22114,0.97561,0.00121679,0.00121679,0.00121679
20,1586.62,0.84603,1.28157,1.13618,0.7497,0.83661,0.75714,0.61217,0.87005,1.22114,0.97561,0.001205,0.001205,0.001205
21,1659.67,0.79098,1.40526,1.08743,0.4986,1,0.75352,0.60926,0.88698,1.17386,0.98593,0.00119322,0.00119322,0.00119322
22,1734.82,0.78289,1.35909,1.12072,0.72866,0.83296,0.80403,0.65252,0.81785,1.17938,0.97474,0.00118143,0.00118143,0.00118143
23,1808.82,0.8686,1.31368,1.17749,0.68128,0.84646,0.80737,0.66668,0.76648,1.15281,0.95491,0.00116964,0.00116964,0.00116964
