epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3631,1.29503,4.22354,1.20354,0.0049,0.4375,0.00356,0.00256,0.91966,3.79513,0.9562,0.000465508,0.000465508,0.000465508
2,88.393,1.0522,3.70375,0.98555,0.00526,0.5,0.00413,0.0035,0.86537,3.63588,0.96708,0.000934071,0.000934071,0.000934071
3,130.318,1.097,3.05939,1.03997,0.52662,0.98379,0.65674,0.31808,1.3989,2.31595,1.26967,0.00139477,0.00139477,0.00139477
4,169.791,1.13842,2.67349,1.05369,0.52662,0.98379,0.65674,0.31808,1.3989,2.31595,1.26967,0.00139363,0.00139363,0.00139363
5,209.132,1.01407,2.35088,1.04068,0.46966,0.8125,0.49962,0.38411,0.85335,2.18701,0.99567,0.00138184,0.00138184,0.00138184
6,276.836,0.91683,2.30453,0.98587,0.49404,0.6875,0.4691,0.3804,0.74972,2.00377,0.99739,0.00137005,0.00137005,0.00137005
7,320.74,0.95671,1.94948,0.9867,0.52389,0.48635,0.46559,0.35455,0.89589,2.53583,1.00247,0.00135826,0.00135826,0.00135826
8,359.749,0.95951,2.01692,0.94232,0.52389,0.48635,0.46559,0.35455,0.89589,2.53583,1.00247,0.00134648,0.00134648,0.00134648
9,396.886,0.95174,1.90753,0.95701,0.49517,0.98037,0.63777,0.46991,0.97876,1.84752,0.98558,0.00133469,0.00133469,0.00133469
10,435.483,0.90845,2.011,0.96766,0.59099,0.89718,0.68764,0.53249,0.90767,1.81143,0.96293,0.0013229,0.0013229,0.0013229
11,475.343,0.88611,1.9125,0.92128,0.59099,0.89718,0.68764,0.53249,0.90767,1.81143,0.96293,0.00131111,0.00131111,0.00131111
12,521.077,0.91478,2.01847,0.95151,0.56935,1,0.70498,0.56012,1.00234,1.51839,0.9665,0.00129932,0.00129932,0.00129932
13,562.609,0.86557,2.2889,0.94225,0.48906,1,0.73579,0.57752,1.03577,1.527,0.97461,0.00128753,0.00128753,0.00128753
14,602.988,0.83357,1.91644,0.90338,0.48906,1,0.73579,0.57752,1.03577,1.527,0.97461,0.00127574,0.00127574,0.00127574
15,643.96,0.81279,1.72835,0.89033,0.49231,1,0.67768,0.51749,0.89302,1.49109,0.96723,0.00126395,0.00126395,0.00126395
16,682.549,0.78725,1.90017,0.87636,0.49847,1,0.60883,0.51292,0.8012,1.39542,0.93856,0.00125216,0.00125216,0.00125216
17,724.217,0.88853,1.7784,0.94945,0.49847,1,0.60883,0.51292,0.8012,1.39542,0.93856,0.00124037,0.00124037,0.00124037
18,766.678,0.82792,1.64317,0.91556,0.53094,0.99712,0.68997,0.53108,0.98052,1.47261,0.96865,0.00122858,0.00122858,0.00122858
19,805.159,0.79258,1.5566,0.90037,0.57983,0.99076,0.72695,0.57409,0.87964,1.34316,0.96349,0.00121679,0.00121679,0.00121679
