epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5782,1.29,4.59033,1.32105,0,0,0,0,0.68006,4.42973,0.9799,2.858e-05,2.858e-05,2.858e-05
2,36.121,0.99796,4.32551,1.14704,0,0,0,0,0.85094,3.92869,0.96936,7.07426e-05,7.07426e-05,7.07426e-05
3,55.8628,0.88719,3.91938,0.95621,0.00812,0.75,0.00728,0.00565,0.80046,3.77652,0.95095,0.000112056,0.000112056,0.000112056
4,68.1491,0.8312,3.59233,0.92284,0.01085,1,0.01106,0.00889,0.71746,3.7314,0.93481,0.000152521,0.000152521,0.000152521
5,82.8643,0.71528,3.11232,0.86806,0.01082,1,0.01124,0.0095,0.62821,3.69038,0.92563,0.000192138,0.000192138,0.000192138
6,96.3808,0.72771,2.50836,0.90143,0.01071,1,0.01212,0.01079,0.58729,3.6136,0.90872,0.000230905,0.000230905,0.000230905
7,108.281,0.71452,1.80266,0.89462,0.01054,1,0.01238,0.01094,0.55026,3.51639,0.88708,0.000268823,0.000268823,0.000268823
8,120.63,0.73565,1.91864,0.88441,0.01063,1,0.11165,0.0995,0.60272,3.43089,0.89146,0.000305893,0.000305893,0.000305893
9,132.64,0.77541,1.62525,0.91068,0.01049,1,0.10925,0.09756,0.59532,3.41815,0.89673,0.000342114,0.000342114,0.000342114
10,148.601,0.68335,1.50441,0.86085,0.01029,1,0.0127,0.01121,0.5428,3.44694,0.89909,0.000377486,0.000377486,0.000377486
11,160.7,0.81888,1.77941,0.89958,0.0101,1,0.01244,0.01137,0.51794,3.45691,0.89926,0.000412009,0.000412009,0.000412009
12,172.635,0.73651,1.43841,0.87103,0.01005,1,0.01225,0.01115,0.50795,3.42454,0.89725,0.000445684,0.000445684,0.000445684
13,184.633,0.70722,1.35943,0.88057,0.01007,1,0.34482,0.2969,0.48839,3.34448,0.89317,0.000478509,0.000478509,0.000478509
14,196.196,0.73455,1.2857,0.88505,0.01002,1,0.45424,0.39323,0.51006,3.2798,0.88601,0.000510486,0.000510486,0.000510486
15,209.209,0.75474,1.10882,0.85838,0.01002,1,0.45424,0.39323,0.51006,3.2798,0.88601,0.000541614,0.000541614,0.000541614
16,220.825,0.73847,1.02852,0.85509,0.01001,1,0.47288,0.42062,0.51506,3.24634,0.87794,0.000571893,0.000571893,0.000571893
17,232.538,0.67085,1.24816,0.92475,0.01013,1,0.22699,0.20421,0.50392,3.34934,0.88307,0.000601323,0.000601323,0.000601323
18,244.39,0.70549,1.03743,0.88481,0.01013,1,0.22699,0.20421,0.50392,3.34934,0.88307,0.000629905,0.000629905,0.000629905
19,255.953,0.72508,1.20094,0.88659,0.01001,1,0.60284,0.53204,0.49955,3.30436,0.88734,0.000657637,0.000657637,0.000657637
20,269.681,0.67397,1.14333,0.86065,0.00983,1,0.90214,0.80264,0.51061,3.11535,0.8814,0.000684521,0.000684521,0.000684521
21,282.08,0.67373,1.00654,0.86936,0.00983,1,0.90214,0.80264,0.51061,3.11535,0.8814,0.000710556,0.000710556,0.000710556
22,294.055,0.69452,1.11401,0.87933,0.01007,1,0.995,0.8586,0.58718,2.91802,0.87815,0.000735742,0.000735742,0.000735742
23,307.197,0.65382,0.9067,0.87888,0.01007,1,0.995,0.8586,0.58718,2.91802,0.87815,0.000760079,0.000760079,0.000760079
24,321.91,0.65767,0.93402,0.89056,0.01006,1,0.995,0.84298,0.67318,2.73599,0.87939,0.000783568,0.000783568,0.000783568
25,350.087,0.75705,1.08151,0.9186,0.01006,1,0.995,0.84298,0.67318,2.73599,0.87939,0.000806208,0.000806208,0.000806208
26,363.127,0.74204,0.88962,0.90008,0.01028,1,0.995,0.83789,0.7008,2.67654,0.87988,0.000827998,0.000827998,0.000827998
27,380.861,0.65995,0.90476,0.87082,0.01028,1,0.995,0.83789,0.7008,2.67654,0.87988,0.00084894,0.00084894,0.00084894
28,394.047,0.61335,0.8623,0.8796,1,0.54757,0.995,0.86219,0.60908,2.2582,0.85958,0.000869033,0.000869033,0.000869033
29,407.862,0.68686,0.84799,0.90885,1,0.54757,0.995,0.86219,0.60908,2.2582,0.85958,0.000888278,0.000888278,0.000888278
30,423.624,0.65086,0.87691,0.89247,1,0.54757,0.995,0.86219,0.60908,2.2582,0.85958,0.000906673,0.000906673,0.000906673
31,437.419,0.67908,0.85928,0.88592,0.96656,1,0.995,0.8731,0.54355,1.72319,0.86064,0.00092422,0.00092422,0.00092422
32,450.381,0.64588,0.82688,0.87076,0.96656,1,0.995,0.8731,0.54355,1.72319,0.86064,0.000940918,0.000940918,0.000940918
33,463.9,0.6722,0.85668,0.88731,0.9564,1,0.995,0.88045,0.53651,1.51123,0.86083,0.000956767,0.000956767,0.000956767
34,477.21,0.68758,0.86904,0.88146,0.9564,1,0.995,0.88045,0.53651,1.51123,0.86083,0.000962146,0.000962146,0.000962146
35,488.922,0.69958,0.83806,0.91018,0.9564,1,0.995,0.88045,0.53651,1.51123,0.86083,0.000947999,0.000947999,0.000947999
36,500.692,0.73471,0.92201,0.88168,0.94301,1,0.995,0.85512,0.57281,1.29254,0.85754,0.000933851,0.000933851,0.000933851
37,512.915,0.6776,0.8273,0.85103,0.94301,1,0.995,0.85512,0.57281,1.29254,0.85754,0.000919704,0.000919704,0.000919704
38,524.314,0.67159,0.96796,0.9108,0.94301,1,0.995,0.85512,0.57281,1.29254,0.85754,0.000905557,0.000905557,0.000905557
39,537.266,0.66292,0.82944,0.87761,0.95347,1,0.995,0.87338,0.56287,1.18969,0.84837,0.00089141,0.00089141,0.00089141
40,549.049,0.66104,0.77451,0.86887,0.95347,1,0.995,0.87338,0.56287,1.18969,0.84837,0.000877263,0.000877263,0.000877263
41,561.47,0.59382,0.81567,0.87627,0.95617,1,0.995,0.88048,0.52329,1.09908,0.84372,0.000863116,0.000863116,0.000863116
42,574.788,0.65963,0.77999,0.8825,0.95617,1,0.995,0.88048,0.52329,1.09908,0.84372,0.000848969,0.000848969,0.000848969
